service_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday,start_date,end_date
1,1,1,1,1,1,1,0,20250414,20250427
2,1,1,1,1,1,1,0,20250328,20250412
3,1,1,1,1,1,1,0,20250328,20250412
4,1,1,1,1,1,1,0,20250414,20250427
5,1,1,1,1,1,0,0,20250402,20250427
6,1,1,1,1,1,0,0,20250328,20250328
7,1,1,1,1,1,0,0,20250402,20250427
8,1,1,1,1,1,0,0,20250328,20250329
9,0,0,0,0,0,1,0,20250328,20250329
10,0,0,0,0,0,1,0,20250402,20250427
11,1,1,1,1,1,0,0,20250402,20250427
12,1,1,1,1,1,0,0,20250328,20250329
13,1,1,1,1,1,0,0,20250328,20250329
14,1,1,1,1,1,0,0,20250402,20250427
15,0,0,0,0,0,1,0,20250402,20250427
16,0,0,0,0,0,1,0,20250328,20250329
17,0,0,0,0,0,1,0,20250419,20250427
18,0,0,0,0,0,1,0,20250402,20250410
19,0,0,0,0,0,1,0,20250328,20250329
20,0,0,0,0,0,1,0,20250402,20250427
21,1,1,1,1,1,0,0,20250403,20250427
22,1,1,1,1,1,0,0,20250402,20250427
23,1,1,1,1,1,0,0,20250402,20250427
24,1,1,1,1,1,0,0,20250403,20250427
25,1,1,1,1,1,0,0,20250402,20250427
26,1,1,1,1,1,0,0,20250328,20250329
27,1,1,1,1,1,0,0,20250328,20250329
28,1,1,1,1,1,0,0,20250402,20250427
29,1,0,0,0,0,0,0,20250402,20250427
30,1,0,0,0,0,0,0,20250328,20250329
31,1,1,1,1,1,1,0,20250328,20250329
32,1,1,1,1,1,1,0,20250331,20250427
33,0,0,0,0,0,1,0,20250328,20250427
34,1,1,1,1,1,0,0,20250328,20250427
35,1,1,1,1,1,0,0,20250402,20250427
36,1,1,1,1,1,0,0,20250328,20250329
37,1,1,1,1,1,0,0,20250328,20250329
38,1,1,1,1,1,0,0,20250402,20250427
39,1,1,1,1,1,0,0,20250328,20250329
40,1,1,1,1,1,0,0,20250402,20250427
41,1,1,1,1,1,0,0,20250402,20250427
42,1,1,1,1,1,0,0,20250328,20250329
43,1,1,1,1,1,1,0,20250328,20250427
44,1,1,1,1,1,0,0,20250402,20250427
45,1,1,1,1,1,0,0,20250328,20250329
46,0,0,0,0,0,1,0,20250328,20250329
47,0,0,0,0,0,1,0,20250402,20250427
48,0,0,0,0,0,1,0,20250328,20250329
49,0,0,0,0,0,1,0,20250402,20250427
50,1,1,1,1,1,0,0,20250402,20250427
51,1,1,1,1,1,0,0,20250328,20250329
52,1,1,1,1,1,0,0,20250328,20250328
53,1,1,1,1,1,0,0,20250330,20250427
