File: ./api/simple-shape-api.php, Lines: 215
File: ./api/gtfs-departures.php, Lines: 211
File: ./api/gtfs-core.php, Lines: 209
File: ./api/debug-gtfs-routes.php, Lines: 200
File: ./react/public-transportation/src/MapView.js, Lines: 195
File: ./react/public-transportation/src/CombinedTransportApp.js, Lines: 195
File: ./react/public-transportation/src/services/gtfs-service.js, Lines: 193
File: ./react/public-transportation/src/TransportationMap.js, Lines: 184
File: ./api/gtfs-shapes-lines.php, Lines: 184
File: ./api/gtfs-api.php, Lines: 179
File: ./analyze-gtfs-files.php, Lines: 169
File: ./nginx-setup-fix.sh, Lines: 167
File: ./react/public-transportation/src/services/gtfs-fetcher.js, Lines: 162
File: ./setup-transport.sh, Lines: 148
File: ./react/public-transportation/src/services/transport-api.js, Lines: 130
File: ./api/gtfs-shapes.php, Lines: 124
File: ./react/public-transportation/src/App.js, Lines: 121
File: ./react/public-transportation/src/hooks/useMapHandlers.js, Lines: 107
File: ./react/public-transportation/src/components/map/MarkersLayer.js, Lines: 100
File: ./react/public-transportation/src/services/transportation-service.js, Lines: 99
File: ./api/gtfs-shapes-base.php, Lines: 99
File: ./react/public-transportation/src/components/controls/TransportControls.js, Lines: 97
File: ./api/transport.php, Lines: 96
File: ./scripts/find-route.php, Lines: 92
File: ./react/public-transportation/src/api-service.js, Lines: 90
File: ./react/public-transportation/src/components/map/MapControls.js, Lines: 87
File: ./react/public-transportation/src/components/map/RouteMapView.js, Lines: 86
File: ./react/public-transportation/src/components/map/MapUtilities.js, Lines: 86
File: ./react/public-transportation/src/utils/ShapeSimplifier.js, Lines: 77
File: ./react/public-transportation/src/components/map/MapEffect.js, Lines: 72
File: ./api/api-diagnostics.php, Lines: 69
File: ./react/public-transportation/src/components/data-display/StationArrivals.js, Lines: 65
File: ./inspect-gtfs.sh, Lines: 65
File: ./extract-nginx-blocks.sh, Lines: 62
File: ./debug-shape.sh, Lines: 62
File: ./react/public-transportation/src/components/map/RouteLayer.js, Lines: 60
File: ./react/public-transportation/src/components/map/MapControlPanel.js, Lines: 59
File: ./api/diagnose.php, Lines: 58
File: ./react/public-transportation/src/components/map/MapMarkers.js, Lines: 56
File: ./api/test-api-local.php, Lines: 56
File: ./api/debug-api.php, Lines: 51
File: ./fix-api-symlink.sh, Lines: 48
File: ./old_scripts/setup-api-directory.sh, Lines: 38
File: ./update-api-links.sh, Lines: 35
File: ./cleanup-temp-files.sh, Lines: 35
File: ./update-gtfs.sh, Lines: 34
File: ./react/public-transportation/server.js, Lines: 34
File: ./old_scripts/update-gtfs.sh, Lines: 34
File: ./enable-nginx-sites.sh, Lines: 33
File: ./create-nginx-structure.sh, Lines: 33
File: ./nginx-enable.sh, Lines: 32
File: ./organize-nginx-config.sh, Lines: 27
File: ./setup-api.sh, Lines: 25
File: ./scripts/findLongFiles.sh, Lines: 25
File: ./old_scripts/setup-api.sh, Lines: 25
File: ./fix-nginx-ssl.sh, Lines: 25
File: ./setup-api-links.sh, Lines: 22
File: ./react/public-transportation/src/index.js, Lines: 19
File: ./delete-old-scripts.sh, Lines: 17
File: ./fix-permissions.sh, Lines: 15
File: ./react/public-transportation/src/reportWebVitals.js, Lines: 13
File: ./delete-unused-files.sh, Lines: 11
File: ./link-diagnostics.sh, Lines: 10
File: ./old_scripts/setup-symlinks.sh, Lines: 9
File: ./react/public-transportation/src/App.test.js, Lines: 8
File: ./nginx-setup.sh, Lines: 8
File: ./link-diagnose.sh, Lines: 6
File: ./react/public-transportation/src/setupTests.js, Lines: 5
File: ./verify-api-endpoints.sh, Lines: 0
File: ./master-setup.sh, Lines: 0
File: ./fix-nginx-ssl-properly.sh, Lines: 0
File: ./fix-missing-api.sh, Lines: 0
File: ./fix-api-paths.sh, Lines: 0
File: ./fix-api-500.sh, Lines: 0
File: ./create-all-api-files.sh, Lines: 0
